index,participant.label,RSversion,RSversion_verbose
335,98d860d603b26641f0eb0e1ba91fec9d,2,Tfidf_neg
336,f55b6d4ae708e083f2bd9372fa1f7d6d,3,Tfidf_neu
337,d311a414f337f0c7c78ae56fb059da20,3,Tfidf_neu
338,b7bcc3aeadd1da0a9d984e4d9b75cfd7,4,Tfidf
339,f1a58932508ae11cfcf124e0f613985f,7,Transformer
340,02c2ec67ae9a8ec1d27a96e297241e44,6,Random
341,9dc104362756dfcaf6fe82f1337b6a1b,4,Tfidf
342,b1ddc73f5a8e1bf51dc3975b5b2c039c,7,Transformer
343,9530829f512846f08309830bf013b79d,6,Random
344,4d54b33d4a068913a1b1de2d444dcd81,4,Tfidf
345,bd7736c09722eac020d3ba894fbb877d,2,Tfidf_neg
346,4a9dc7169ac561b4b575cfc61e422cad,3,Tfidf_neu
347,8567a485bd593d2e92b5706b7f9d77f8,2,Tfidf_neg
348,477e82f578c5b962eeb9bbdc8f8b8834,1,Tfidf_pos
349,d3d030f9b1ef56680dd2896f16da516c,6,Random
350,11a2b4bde6703ed5d4309d2307d94b83,2,Tfidf_neg
351,5cd59c2c2d54d8bf9adb63ddef2d4461,3,Tfidf_neu
352,21cb7e314ffbe54c9ab984edc829699b,1,Tfidf_pos
353,6c10a965b81f5223f83da02933c787ff,1,Tfidf_pos
354,9158ba72d03539dc1055ac0e60f9ab4e,4,Tfidf
355,ae9bbbe1e15311dc81922d2537d9becc,6,Random
356,d927580a0a5c2aeee6f4171c1f0b1a21,1,Tfidf_pos
357,c59c7a37c15bc121a4f123464f9c0348,5,Word2vec
358,f22b4d54736d13030af80f611535eceb,1,Tfidf_pos
359,7ed4d6b24480070fb20e1d177c6bf821,2,Tfidf_neg
360,034cee7c4b885725fe9d4b430ede32a1,4,Tfidf
361,d47502cd47a79712ec9df87186d0145f,2,Tfidf_neg
362,c1fc1fcb3f487c043da62418c1e8e5d7,4,Tfidf
363,bb2b385a0f83e2b97169eced141d6873,6,Random
364,11a301a84b287a39b6818374375945df,2,Tfidf_neg
365,87305e1e3083daa843eed063a2d13996,5,Word2vec
366,991d3af0f89c3aa80127a57f9998549c,5,Word2vec
367,ac1876d174b50f25c099c537b907707f,1,Tfidf_pos
368,ef52ad0d6e916530c28b595a2663d94d,6,Random
369,dfbc5bc964dee291c220426ab78df5c7,7,Transformer
370,589f49b114621b5b8074d2af12665077,6,Random
371,09ec5ad1f4fcb09bc952f487796f6818,1,Tfidf_pos
372,cb79cf35a224b495469b5af774d6c729,4,Tfidf
373,7d9eeb33ede6ad3ba3c05bcab5d467a6,6,Random
374,bd1882973c9c2ff6a2505344d5e81e56,4,Tfidf
375,9c7f35978577d6e4f6cb8925a8cdc6be,4,Tfidf
376,b3d3484504d16feea4b051b72a70887a,5,Word2vec
377,245db0a1309350a3ed49ddbfbd4ffa82,7,Transformer
378,ac9de95534da1c5f132f1f06df5a2976,1,Tfidf_pos
379,c21e8d6d23623124b192ed77d2dc262b,1,Tfidf_pos
380,9f5ca88226f1f3fc10ddfb50fa1e532a,6,Random
381,b82060dcf778c0267152e9c09e2593af,3,Tfidf_neu
382,fc194b6a83e354a2c797ecea53a602b9,3,Tfidf_neu
383,ee53a6a0e0963d993fec9068a4efbdd4,2,Tfidf_neg
384,9e3799d378ad4f00cec550adab226fb4,7,Transformer
385,80cc72d88db2d83b796aba1b2fe52c70,1,Tfidf_pos
386,a0b863c1f4b20c5c186a5bc24ed1b7c7,3,Tfidf_neu
387,9fdfcddb994752fe32ba6dcd9dcf4cea,3,Tfidf_neu
388,8d139c181f72f11d4ed809248538a373,3,Tfidf_neu
389,593efec36c0fce569f7ef826d77a41b9,3,Tfidf_neu
390,24561a77fd33b34728d1e157b50160fd,6,Random
391,75f8234fa0b1b11521e979b9e17681f7,3,Tfidf_neu
392,8578df2c4cb8f5d74270ea5772f9cb27,4,Tfidf
393,a9f520abc5edace061567bde4037bdc9,7,Transformer
394,721a5daa41f6786171d5208332422b66,2,Tfidf_neg
395,0a62ce35d869a3500bf0600db23f8e69,6,Random
